Date,Header,Link
"Aug. 2, 2024",ExxonMobil announces second-quarter 2024 results,https://corporate.exxonmobil.com/news/news-releases/2024/0802_exxonmobil-announces-second-quarter-2024-results
"July 25, 2024",ExxonMobil signs carbon capture agreement with CF Industries in Mississippi ,https://corporate.exxonmobil.com/what-we-do/delivering-industrial-solutions/carbon-capture-and-storage/exxonmobil-signs-carbon-capture-agreement-cf-industries-yazoo
"July 23, 2024",ExxonMobil to release second quarter 2024 financial results,https://corporate.exxonmobil.com/news/news-releases/2024/0723_exxonmobil-to-release-second-quarter-2024-financial-results
"July 15, 2024",A call to action on U.S. hydrogen,https://corporate.exxonmobil.com/what-we-do/delivering-industrial-solutions/hydrogen/low-carbon-hydrogen-market-report
"July 12, 2024",Expert spotlight: Stephanie Lollar - a “landman” pivots to lithium,https://corporate.exxonmobil.com/what-we-do/delivering-industrial-solutions/lithium/lithium-meet-stephanie-lollar
"July 9, 2024",Operations update for Beryl,https://corporate.exxonmobil.com/who-we-are/beryl
"June 25, 2024",ExxonMobil and EV battery maker SK On sign MOU regarding U.S. produced Mobil™ Lithium,https://corporate.exxonmobil.com/news/news-releases/2024/0625_exxonmobil-sk-lithium-supply-agreement
"June 24, 2024",ExxonMobil adds Air Liquide to world’s largest low-carbon hydrogen project,https://corporate.exxonmobil.com/news/news-releases/2024/0624_exxonmobil-adds-air-liquide-to-worlds-largest-low-carbon-hydrogen-project
"June 18, 2024","Message from Darren Woods, ExxonMobil Chairman and CEO",https://corporate.exxonmobil.com/news/corporate-news/message-from-the-chairman
"June 18, 2024",Sea turtles bring a book to life in Guyana,https://corporate.exxonmobil.com/locations/guyana/guyana-marine-turtle-conservation
